STATEFIPS,STATE,ZIPCODE,AGI_STUB,N1,MARS1,MARS2,A00100
21,KY,42259,0,390,130,210,14331
21,KY,42261,0,4090,1470,1910,163849
21,KY,42262,0,3050,940,1400,88185
21,KY,42265,0,400,150,210,27698
21,KY,42266,0,940,320,460,45577
21,KY,42273,0,180,60,90,8396
21,KY,42274,0,1050,410,510,50148
21,KY,42275,0,290,90,170,11933
21,KY,42276,0,6110,2460,2600,268759
21,KY,42280,0,210,80,90,7048
21,KY,42285,0,170,70,90,6661
21,KY,42286,0,590,220,270,33346
21,KY,42301,0,19500,8950,7350,925780
21,KY,42303,0,17720,7950,7050,992353
21,KY,42320,0,3310,1150,1480,134280
21,KY,42321,0,190,70,90,6832
21,KY,42323,0,390,140,210,17389
21,KY,42324,0,430,130,250,21020
21,KY,42325,0,850,310,420,36043
21,KY,42326,0,130,40,60,4914
21,KY,42327,0,1720,640,880,86358
21,KY,42328,0,560,200,280,23909
21,KY,42330,0,3440,1300,1590,159125
21,KY,42333,0,450,150,220,16404
21,KY,42337,0,710,250,340,25240
21,KY,42339,0,320,100,170,13132
21,KY,42343,0,730,290,340,27958
21,KY,42344,0,360,120,180,13521
21,KY,42345,0,4370,1630,2170,223939
21,KY,42347,0,2420,890,1160,118766
21,KY,42348,0,2050,750,1050,103154
21,KY,42349,0,490,150,270,18306
21,KY,42350,0,560,200,290,26012
21,KY,42351,0,1780,650,900,92590
21,KY,42352,0,840,320,410,37253
21,KY,42354,0,140,50,60,5342
21,KY,42355,0,810,310,380,41691
21,KY,42361,0,200,70,120,8657
21,KY,42366,0,2700,1020,1450,168854
21,KY,42367,0,400,160,170,13488
21,KY,42368,0,520,170,300,22936
21,KY,42369,0,120,50,60,4374
21,KY,42371,0,210,90,100,10460
21,KY,42372,0,750,290,360,32910
21,KY,42376,0,2640,1000,1350,148517
21,KY,42378,0,1420,560,720,69595
21,KY,42404,0,970,350,500,54110
21,KY,42406,0,1180,410,640,61263
21,KY,42408,0,2390,970,1130,99338
21,KY,42409,0,880,300,500,50072
21,KY,42410,0,490,200,190,17038
21,KY,42411,0,700,270,330,30579
21,KY,42413,0,1250,430,710,91981
21,KY,42420,0,16420,7230,6490,859056
21,KY,42431,0,11360,4830,4780,601847
21,KY,42436,0,600,240,310,35228
21,KY,42437,0,3150,1360,1340,167336
21,KY,42441,0,610,210,330,32504
21,KY,42442,0,1160,450,570,49245
21,KY,42445,0,4630,1930,1920,201923
21,KY,42450,0,1580,620,710,72087
21,KY,42451,0,290,100,150,12033
21,KY,42452,0,1060,330,600,58698
21,KY,42453,0,240,80,120,8922
21,KY,42455,0,1390,540,580,63117
21,KY,42456,0,720,240,410,38937
21,KY,42458,0,420,160,210,18795
21,KY,42459,0,1720,620,860,87011
21,KY,42461,0,650,290,260,31606
21,KY,42462,0,560,220,290,36001
21,KY,42464,0,730,250,380,33874
21,KY,42501,0,6460,2690,2590,242161
21,KY,42503,0,9090,3430,4380,489503
21,KY,42516,0,170,60,90,5660
21,KY,42518,0,1190,480,530,48832
21,KY,42519,0,1150,510,420,36424
21,KY,42528,0,620,230,260,27252
21,KY,42533,0,410,160,170,12372
21,KY,42539,0,3580,1410,1680,120883
21,KY,42541,0,200,70,80,7520
21,KY,42544,0,2180,820,1070,87589
21,KY,42553,0,2060,740,1020,81478
21,KY,42565,0,230,100,120,8508
21,KY,42566,0,230,90,110,7636
21,KY,42567,0,2130,810,1030,79253
21,KY,42602,0,3560,1500,1500,116485
21,KY,42603,0,140,60,70,4749
21,KY,42629,0,1890,690,890,74600
21,KY,42633,0,7030,2740,3150,247727
21,KY,42634,0,410,170,180,10625
21,KY,42635,0,1140,410,510,34557
21,KY,42642,0,4990,1880,2200,193172
21,KY,42647,0,1110,390,540,33734
21,KY,42649,0,430,130,220,13157
21,KY,42653,0,1470,540,650,49061
21,KY,42701,0,22600,9870,9380,1254686
21,KY,42712,0,760,290,360,26840
21,KY,42713,0,740,320,310,23410
21,KY,42715,0,160,60,80,4501
21,KY,42716,0,670,250,300,24959
21,KY,42717,0,2420,940,1060,83382
21,KY,42718,0,9920,4120,4410,400313
21,KY,42721,0,1360,440,740,52391
21,KY,42722,0,300,100,160,10154
21,KY,42724,0,2170,850,1060,100334
21,KY,42726,0,1750,640,880,68707
21,KY,42728,0,5860,2250,2730,214641
21,KY,42729,0,490,170,300,20128
21,KY,42732,0,740,280,360,27599
21,KY,42733,0,490,180,260,17344
21,KY,42740,0,840,340,410,41821
21,KY,42741,0,110,50,50,2916
21,KY,42743,0,3330,1260,1630,123148
21,KY,42746,0,720,240,380,25350
21,KY,42748,0,3730,1550,1620,164657
21,KY,42749,0,1980,810,870,69644
21,KY,42753,0,230,90,130,7467
21,KY,42754,0,5740,2230,2570,235648
21,KY,42757,0,1170,430,580,44846
21,KY,42762,0,180,70,80,6318
21,KY,42764,0,220,80,100,7700
21,KY,42765,0,2300,880,1110,92190
21,KY,42776,0,1080,400,520,45512
21,KY,42782,0,380,130,200,14243
21,KY,42784,0,1130,440,560,43927
21,KY,42788,0,130,50,70,5326
